name|username|id
Baldwin, Tammy|SenatorBaldwin|1074518754
Barrasso, John|SenJohnBarrasso|202206694
Bennet, Michael F.|SenatorBennet|224285242
Blackburn, Marsha|MarshaBlackburn|278145569
Blumenthal, Richard|SenBlumenthal|278124059
Blunt, Roy|RoyBlunt|21269970
Booker, Cory A.|CoryBooker|15808765
Boozman, John|JohnBoozman|5558312
Braun, Mike|SenatorBraun|1080870981877534720
Brown, Sherrod|SenSherrodBrown|43910797
Burr, Richard|SenatorBurr|21157904
Cantwell, Maria|SenatorCantwell|117501995
Capito, Shelley Moore|SenCapito|193794406
Cardin, Benjamin L.|SenatorCardin|109071031
Carper, Thomas R.|SenatorCarper|249787913
Casey, Robert P. Jr.|SenBobCasey|171598736
Cassidy, Bill|SenBillCassidy|1017500185356853248
Collins, Susan M.|SenatorCollins|19726613
Coons, Christopher A.|ChrisCoons|15324851
Cornyn, John|JohnCornyn|13218102
Cortez Masto, Catherine|SenCortezMasto|811313565760163844
Cotton, Tom|SenTomCotton|968650362
Cramer, Kevin|SenKevinCramer|1048784496
Crapo, Mike|MikeCrapo|600463589
Cruz, Ted|SenTedCruz|1074480192
Daines, Steve|SteveDaines|11651202
Duckworth, Tammy|SenDuckworth|1058520120
Durbin, Richard J.|SenatorDurbin|247334603
Ernst, Joni|SenJoniErnst|2856787757
Feinstein, Dianne|SenFeinstein|476256944
Fischer, Deb|SenatorFischer|1071402577
Gillibrand, Kirsten E.|SenGillibrand|72198806
Graham, Lindsey|LindseyGrahamSC|432895323
Grassley, Chuck|ChuckGrassley|10615232
Hagerty, Bill|SenatorHagerty|1346873610875654147
Hassan, Margaret Wood|SenatorHassan|946549322
Hawley, Josh|HawleyMO|2352629311
Heinrich, Martin|MartinHeinrich|1099199839
Hickenlooper, John W.|SenatorHick|1318728336923787264
Hirono, Mazie K.|maziehirono|92186819
Hoeven, John|SenJohnHoeven|382791093
Hyde-Smith, Cindy|SenHydeSmith|983348251972816896
Inhofe, James M.|JimInhofe|7270292
