tweet_id|created_at|author_id|author_username|author_geo|conversation_id|referenced_id|reference_type|pub_rt_cnt|pub_like_cnt|pub_rep_cnt|pub_qt_cnt|depth
1529612101131587585|2022-05-25T23:55:18.000Z|1074518754|SenatorBaldwin|Washington, D.C.|1529612101131587585|1529575960596688896|retweeted|184|0|0|0|0
1529518124965498883|2022-05-25T17:41:52.000Z|1074518754|SenatorBaldwin|Washington, D.C.|1529518124965498883|1529512043279265794|quoted|127|460|64|13|0
1529488140729204736|2022-05-25T15:42:43.000Z|1074518754|SenatorBaldwin|Washington, D.C.|1529488140729204736|||15|77|15|3|0
1529207643822100480|2022-05-24T21:08:08.000Z|1074518754|SenatorBaldwin|Washington, D.C.|1529207643822100480|||76|463|92|8|0
1529182321861087232|2022-05-24T19:27:31.000Z|1074518754|SenatorBaldwin|Washington, D.C.|1529182321861087232|||46|241|27|3|0
1529248908379299840|2022-05-24T23:52:06.000Z|202206694|SenJohnBarrasso||1529248908379299840|||25|223|359|31|0
1529186113587499014|2022-05-24T19:42:35.000Z|202206694|SenJohnBarrasso||1529186113587499014|||51|177|162|17|0
1529159650377187328|2022-05-24T17:57:25.000Z|202206694|SenJohnBarrasso||1529159650377187328|1529155362892439553|retweeted|15|0|0|0|0
1529112195946135552|2022-05-24T14:48:51.000Z|202206694|SenJohnBarrasso||1529112195946135552|1529110914611429376|retweeted|51|0|0|0|0
1529578209095860224|2022-05-25T21:40:37.000Z|224285242|SenatorBennet|Colorado|1529578206419984385|1529578206419984385|replied_to|22|111|8|1|
1529578206419984385|2022-05-25T21:40:37.000Z|224285242|SenatorBennet|Colorado|1529578206419984385|||17|98|16|1|0
1529508019716890624|2022-05-25T17:01:43.000Z|224285242|SenatorBennet|Colorado|1529508019716890624|||6|59|4|1|0
1529464648180846592|2022-05-25T14:09:22.000Z|224285242|SenatorBennet|Colorado|1529464648180846592|||45|293|68|9|0
1529220807699857408|2022-05-24T22:00:26.000Z|224285242|SenatorBennet|Colorado|1529220807699857408|||96|525|114|13|0
1529210018884554752|2022-05-24T21:17:34.000Z|278145569|MarshaBlackburn|Brentwood, TN|1529210018884554752|||788|5794|10908|991|0
1529184693270327296|2022-05-24T19:36:56.000Z|278145569|MarshaBlackburn|Brentwood, TN|1529184693270327296|||1195|6318|908|92|0
1529165469005094915|2022-05-24T18:20:32.000Z|278145569|MarshaBlackburn|Brentwood, TN|1529165469005094915|||128|433|164|15|0
1529141463510044672|2022-05-24T16:45:09.000Z|278145569|MarshaBlackburn|Brentwood, TN|1529141463510044672|||1340|5146|728|98|0
1529118155397812224|2022-05-24T15:12:32.000Z|278145569|MarshaBlackburn|Brentwood, TN|1529118020085469186|1529118020085469186|replied_to|171|410|149|18|
1529629496285855744|2022-05-26T01:04:25.000Z|278124059|SenBlumenthal|Connecticut, USA|1529629496285855744|1529602592602525701|retweeted|77|0|0|0|0
1529555883264458754|2022-05-25T20:11:55.000Z|278124059|SenBlumenthal|Connecticut, USA|1529555883264458754|||61|205|29|3|0
1529455424638189568|2022-05-25T13:32:43.000Z|278124059|SenBlumenthal|Connecticut, USA|1529455312738078720|1529455312738078720|replied_to|44|249|28|6|
1529455312738078720|2022-05-25T13:32:17.000Z|278124059|SenBlumenthal|Connecticut, USA|1529455312738078720|||163|572|71|6|0
1529237167326765058|2022-05-24T23:05:27.000Z|278124059|SenBlumenthal|Connecticut, USA|1529237167326765058|1529229903874379776|retweeted|99|0|0|0|0
1529535530022600708|2022-05-25T18:51:02.000Z|15808765|CoryBooker|Newark, NJ|1529535521680244738|1529535528735055872|replied_to|196|1603|167|22|
1529535528735055872|2022-05-25T18:51:02.000Z|15808765|CoryBooker|Newark, NJ|1529535521680244738|1529535527451508736|replied_to|191|1438|82|12|
1529535527451508736|2022-05-25T18:51:01.000Z|15808765|CoryBooker|Newark, NJ|1529535521680244738|1529535526130311170|replied_to|40|395|10|5|
1529535526130311170|2022-05-25T18:51:01.000Z|15808765|CoryBooker|Newark, NJ|1529535521680244738|1529535524347813888|replied_to|36|436|10|1|
1529535524347813888|2022-05-25T18:51:01.000Z|15808765|CoryBooker|Newark, NJ|1529535521680244738|1529535522988859393|replied_to|66|489|27|8|
1529542860609134599|2022-05-25T19:20:10.000Z|5558312|JohnBoozman|Arkansas|1529542860609134599|1529540613212880896|retweeted|2|0|0|0|0
1529482061614039043|2022-05-25T15:18:34.000Z|5558312|JohnBoozman|Arkansas|1529482061614039043|||3|35|143|14|0
1529558036934799360|2022-05-25T20:20:28.000Z|1080870981877534720|SenatorBraun|Jasper, IN|1529558036934799360|||5|25|74|1|0
1529223227662270464|2022-05-24T22:10:03.000Z|1080870981877534720|SenatorBraun|Jasper, IN|1529223227662270464|||55|383|2485|252|0
1529200554961948675|2022-05-24T20:39:58.000Z|1080870981877534720|SenatorBraun|Jasper, IN|1529200554961948675|1529192262370045952|retweeted|8|0|0|0|0
1529186450750771207|2022-05-24T19:43:55.000Z|1080870981877534720|SenatorBraun|Jasper, IN|1529186450750771207|1528998012781043712|quoted|7|37|54|2|0
1529179404458508291|2022-05-24T19:15:55.000Z|1080870981877534720|SenatorBraun|Jasper, IN|1529179404458508291|1529159632492503040|retweeted|5|0|0|0|0
1529510210112524288|2022-05-25T17:10:25.000Z|43910797|SenSherrodBrown|Cleveland, OH|1529510210112524288|1529494935409508353|retweeted|65|0|0|0|0
1529262604899782665|2022-05-25T00:46:31.000Z|43910797|SenSherrodBrown|Cleveland, OH|1529262604899782665|||171|1548|154|13|0
1529170734035116034|2022-05-24T18:41:28.000Z|43910797|SenSherrodBrown|Cleveland, OH|1529170734035116034|1528815329043963904|retweeted|113|0|0|0|0
1529099440686092291|2022-05-24T13:58:10.000Z|43910797|SenSherrodBrown|Cleveland, OH|1529099439247351810|1529099439247351810|replied_to|15|81|4|0|
1529099439247351810|2022-05-24T13:58:10.000Z|43910797|SenSherrodBrown|Cleveland, OH|1529099439247351810|||28|96|9|2|0
1529248285613080576|2022-05-24T23:49:38.000Z|117501995|SenatorCantwell|Washington, DC|1529248284161851392|1529248284161851392|replied_to|27|166|53|3|
1529248284161851392|2022-05-24T23:49:37.000Z|117501995|SenatorCantwell|Washington, DC|1529248284161851392|||18|142|50|4|0
1529188583357161476|2022-05-24T19:52:23.000Z|117501995|SenatorCantwell|Washington, DC|1529188583357161476|1529188452356526083|retweeted|7|0|0|0|0
1529570036477837315|2022-05-25T21:08:09.000Z|193794406|SenCapito||1529570036477837315|||6|28|43|0|0
1529459846969532416|2022-05-25T13:50:18.000Z|193794406|SenCapito||1529459846969532416|1529459309301710848|retweeted|2|0|0|0|0
1529190333850038276|2022-05-24T19:59:21.000Z|193794406|SenCapito||1529190333850038276|||2|10|23|1|0
1529143430349213696|2022-05-24T16:52:58.000Z|193794406|SenCapito||1529143430349213696|||3|6|7|0|0
1529093471901999110|2022-05-24T13:34:27.000Z|193794406|SenCapito||1529093471901999110|||1|6|18|0|0
1529579873337065472|2022-05-25T21:47:14.000Z|109071031|SenatorCardin|Maryland, USA|1529579873337065472|1529428728962502656|quoted|20|56|14|0|0
1529578995238551552|2022-05-25T21:43:45.000Z|109071031|SenatorCardin|Maryland, USA|1529578995238551552|1529567016734150657|retweeted|11153|0|0|0|0
1529531212448124930|2022-05-25T18:33:53.000Z|109071031|SenatorCardin|Maryland, USA|1529531212448124930|1529531086757404672|retweeted|5|0|0|0|0
1529498773466013697|2022-05-25T16:24:58.000Z|109071031|SenatorCardin|Maryland, USA|1529498773466013697|1529404679284744194|quoted|3|25|12|0|0
1529490810449891330|2022-05-25T15:53:20.000Z|109071031|SenatorCardin|Maryland, USA|1529490810449891330|||18|80|22|4|0
1529604748957126657|2022-05-25T23:26:05.000Z|249787913|SenatorCarper|Delaware|1529604748957126657|1529567016734150657|quoted|5|13|5|0|0
1529604194499452931|2022-05-25T23:23:53.000Z|249787913|SenatorCarper|Delaware|1529604194499452931|1529603890458636289|retweeted|8|0|0|0|0
1529534559242670088|2022-05-25T18:47:10.000Z|249787913|SenatorCarper|Delaware|1529534559242670088|||12|22|0|0|0
1529521452495654914|2022-05-25T17:55:06.000Z|249787913|SenatorCarper|Delaware|1529521452495654914|||11|45|3|1|0
1529461458001592321|2022-05-25T13:56:42.000Z|249787913|SenatorCarper|Delaware|1529461458001592321|1529461332143181827|retweeted|3|0|0|0|0
